track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,1,1986,1.0,1.0,86,81.2,68.10000000000001,165733,71.5,0.0009429999999999,7,7.77,-10.609,0,9.12,152.132,4,0.957
Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,1,1986,8.0,16.0,87,7.779999999999999,53.2,249293,88.7,0.0214,0,29.4,-3.757,1,3.35,122.511,4,0.795
You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,Bon Jovi,1,1986,8.0,16.0,84,6.63,54.1,222707,96.0,0.000225,0,34.4,-2.947,0,5.050000000000001,122.803,4,0.812
Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,Metallica,1,1986,3.0,3.0,74,0.067,53.900000000000006,515387,82.8,42.1,4,15.4,-9.108,0,3.5000000000000004,105.25,4,0.562
There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,The Smiths,1,1986,6.0,16.0,83,4.0,52.3,244587,76.9,0.0,4,13.6,-5.855,1,2.69,136.162,4,0.876
Wanted Dead Or Alive,0oerlffJSzhRVvtDfLcp3N,Bon Jovi,1,1986,8.0,16.0,77,13.0,25.2,308667,80.2,1.46,7,30.9,-3.976,1,3.91,150.056,4,0.253
(I Just) Died In Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,Cutting Crew,1,1986,1.0,1.0,82,1.58,62.5,280400,72.6,0.0169,11,6.25,-11.402,0,4.44,124.945,4,0.507
Don't Dream It's Over,7G7tgVYORlDuVprcYHuFJh,Crowded House,1,1986,1.0,1.0,78,1.48,43.9,236933,42.2,0.00484,8,6.97,-17.227,1,4.09,81.833,4,0.551
Kiss,62LJFaYihsdVrrkgUOJC05,Prince,1,1986,3.0,31.0,77,1.35,89.8,226240,27.1,0.1379999999999999,7,4.61,-12.238,1,9.1,111.485,4,0.742
No Sleep Till Brooklyn,5qxChyzKLEyoPJ5qGrdurN,Beastie Boys,1,1986,11.0,15.0,73,12.2,71.2,246933,69.1,0.0,8,5.38,-8.157,1,12.8,97.022,4,0.742
