track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,1,1987,7.0,21.0,88,9.01,44.6,356067,95.2,8.57,6,11.2,-5.321,1,5.23,125.303,4,0.624
Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,Guns N' Roses,1,1987,7.0,21.0,84,1.95,45.3,273480,98.7,28.3,8,26.8,-4.485,1,8.89,123.544,4,0.316
Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,Fleetwood Mac,1,1987,4.0,13.0,83,25.8,73.0,226653,48.7,1.0,4,8.52,-10.991,1,3.03,114.965,4,0.731
Back to the Old House - 2011 Remaster,6LUGvXEAK8WxIBYK43uoTb,The Smiths,1,1987,,,80,1.02,62.6,186627,48.8,0.0187999999999999,2,14.099999999999998,-7.805,1,2.53,104.13,3,0.404
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,1,1987,6.0,2.0,83,20.7,70.89999999999999,291293,82.39999999999999,0.0306999999999999,1,8.88,-8.824,1,4.53,118.818,4,0.867
"Forever and Ever, Amen",1ipcb9qXpSHWhSUvdxJhsx,Randy Travis,1,1987,5.0,4.0,75,14.3,67.7,212640,72.39999999999999,0.0101,2,15.8,-8.992,1,2.45,90.392,4,0.697
Paradise City,6eN1f9KNmiWEhpE2RhQqB5,Guns N' Roses,1,1987,7.0,21.0,83,1.92,26.8,405600,98.0,0.709,11,18.2,-5.958,1,10.3,100.315,4,0.395
Just like Heaven,76GlO5H5RT6g7y0gev86Nk,The Cure,1,1987,5.0,25.0,72,2.71,43.0,212000,97.1,0.00216,9,18.5,-3.845,1,5.24,151.219,4,0.764
Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,Def Leppard,1,1987,8.0,3.0,77,0.211,26.700000000000003,267307,95.3,0.0,1,28.3,-4.899,0,9.6,84.989,4,0.568
I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,U2,1,1987,3.0,3.0,81,1.35,56.39999999999999,277477,77.4,0.191,1,8.61,-9.424,1,3.68,100.894,4,0.657
Need You Tonight,5eU8qMd0TpaLqTGDZJaLDs,INXS,1,1987,,,70,7.13,80.10000000000001,180518,72.3,15.4,10,6.75,-4.985,0,6.890000000000001,109.03,4,0.883
Santa Baby,359errH05UQpI0n74V8f4h,Madonna,1,1987,10.0,20.0,74,58.6,61.8,154907,32.0,0.0,5,36.4,-12.977,0,4.760000000000001,113.825,4,0.602
With Or Without You,6ADSaE87h8Y3lccZlBJdXH,U2,1,1987,3.0,3.0,82,0.0202,54.0,295516,42.9,35.5,2,14.099999999999998,-11.822,1,2.85,110.171,4,0.113
Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,George Michael,1,1987,10.0,30.0,79,0.94,88.7,193200,48.0,0.00358,11,6.619999999999999,-11.994,1,11.7,95.846,4,0.607
Nothing's Gonna Stop Us Now,3X7uFMzJrEE0sxn62qd8Ch,Starship,1,1987,7.0,27.0,81,2.99,64.3,270333,80.2,0.0,6,7.19,-4.92,1,2.27,95.99,4,0.53
Little Lies - 2017 Remaster,4CoSCPlKNrWli7E5kFtbcl,Fleetwood Mac,1,1987,4.0,13.0,77,21.6,64.0,221053,64.9,0.0083,2,5.510000000000001,-10.345,1,2.64,124.825,4,0.865
Ahora Te Puedes Marchar,1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,1,1987,7.0,15.0,81,14.8,78.0,191973,87.7,0.000236,6,6.2700000000000005,-3.683,0,4.2700000000000005,133.263,4,0.909
Never Tear Us Apart,1qQSRy9DjrGh3jtsSCU6B1,INXS,1,1987,,,67,5.18,66.5,185694,68.60000000000001,0.0176,0,17.4,-5.849,1,2.68,96.848,3,0.275
Here I Go Again - 2018 Remaster,1qOU8KzFifXE9YrgjVwYvc,Whitesnake,1,1987,4.0,7.0,65,1.17,29.2,275395,82.3,0.00779,7,15.5,-6.763,1,4.07,89.939,4,0.244
Never Gonna Give You Up,4PTG3Z6ehGkBFwjybzWkR8,Rick Astley,1,1987,11.0,12.0,78,11.5,72.1,213573,93.9,0.00379,8,10.8,-11.823,1,3.76,113.309,4,0.914
Hysteria,2PFIZFcGry0po3ZfRZkzKc,Def Leppard,1,1987,8.0,3.0,72,3.18,65.9,354636,84.6,1.44,7,20.3,-5.508,1,2.74,107.01,4,0.659
Blue Monday,6hHc7Pks7wtBIW8Z6A0iFq,New Order,1,1987,8.0,17.0,74,0.198,76.2,449160,65.10000000000001,85.6,0,11.1,-13.34,1,6.550000000000001,130.395,4,0.941
Dude (Looks Like A Lady),6gQUbFwwdYXlKdmqRoWKJe,Aerosmith,1,1987,1.0,1.0,71,43.5,54.0,265773,98.2,0.0033699999999999,4,4.569999999999999,-2.962,0,4.58,126.294,4,0.91
"Heaven Is A Place On Earth - Promo 7"" Edit",3EvpaRZkKWxsgDIO2zMH7g,Belinda Carlisle,1,1987,,,66,1.71,60.5,233667,90.2,0.0001309999999999,4,12.4,-5.804,1,3.85,122.866,4,0.692
It's The End Of The World As We Know It (And I Feel Fine),2oSpQ7QtIKTNFfA08Cy0ku,R.E.M.,1,1987,9.0,1.0,71,2.58,38.1,246933,89.4,0.0,7,2.51,-8.638,1,3.7,205.528,4,0.797
Seven Wonders - 2017 Remaster,1VN2vWSkSmMKOhxr8lHzSx,Fleetwood Mac,1,1987,4.0,13.0,71,2.59,70.7,222400,62.5,0.00542,4,10.4,-9.529,1,3.03,119.049,4,0.634
"Girls, Girls, Girls",3439OLNIeD3y68kVuoZUO5,Mötley Crüe,1,1987,5.0,15.0,70,2.5,59.9,270533,92.2,0.00582,7,35.6,-4.887,1,7.39,140.098,4,0.514
I Think We're Alone Now,4uvjOKsp7mSjrDhWdkLPBY,Tiffany,1,1987,1.0,1.0,72,2.5,75.2,228840,72.3,0.354,7,2.12,-12.126,1,5.07,130.519,4,0.94
Heaven Knows I'm Miserable Now - 2011 Remaster,1H5N26VqHR4JhuaRKY2I0u,The Smiths,1,1987,,,70,2.8000000000000003,60.9,215760,75.9,0.0,6,18.3,-4.862,1,2.76,114.045,4,0.774
